site_id,date,flow,code
Dolores,1985-02-02,50,A
Dolores,1985-02-03,55,A
Dolores,1985-02-04,60,A
Dolores,1985-02-05,55,A
Dolores,1985-02-06,60,A
Dolores,1985-02-07,60,A
Dolores,1985-02-08,60,A
Dolores,1985-02-09,60,A
Dolores,1985-02-10,60,A
Dolores,1985-02-11,60,A
Dolores,1985-02-12,60,A
Dolores,1985-02-13,60,A
Dolores,1985-02-14,65,A
Dolores,1985-02-15,65,A
Dolores,1985-02-16,65,A
Dolores,1985-02-17,70,A
Dolores,1985-02-18,80,A
Dolores,1985-02-19,80,A
Dolores,1985-02-20,85,A
Dolores,1985-02-21,85,A
Dolores,1985-02-22,85,A
Dolores,1985-02-23,85,A
Dolores,1985-02-24,80,A
Dolores,1985-02-25,80,A
Dolores,1985-02-26,85,A
Dolores,1985-02-27,85,A
Dolores,1985-02-28,90,A
Dolores,1985-03-01,100,A
Dolores,1985-03-02,110,A
Dolores,1985-03-03,100,A
Dolores,1985-03-04,95,A
Dolores,1985-03-05,90,A
Dolores,1985-03-06,90,A
Dolores,1985-03-07,90,A
Dolores,1985-03-08,90,A
Dolores,1985-03-09,100,A
Dolores,1985-03-10,110,A
Dolores,1985-03-11,400,A
Dolores,1985-03-12,350,A
Dolores,1985-03-13,289,A
Dolores,1985-03-14,272,A
Dolores,1985-03-15,272,A
Dolores,1985-03-16,261,A
Dolores,1985-03-17,275,A
Dolores,1985-03-18,275,A
Dolores,1985-03-19,306,A
Dolores,1985-03-20,295,A
Dolores,1985-03-21,315,A
Dolores,1985-03-22,295,A
Dolores,1985-03-23,259,A
Dolores,1985-03-24,306,A
Dolores,1985-03-25,385,A
Dolores,1985-03-26,418,A
Dolores,1985-03-27,361,A
Dolores,1985-03-28,325,A
Dolores,1985-03-29,296,A
Dolores,1985-03-30,266,A
Dolores,1985-03-31,241,A
Dolores,1985-04-01,254,A
Dolores,1985-04-02,306,A
Dolores,1985-04-03,448,A
Dolores,1985-04-04,609,A
Dolores,1985-04-05,687,A
Dolores,1985-04-06,921,A
Dolores,1985-04-07,1210,A
Dolores,1985-04-08,1490,A
Dolores,1985-04-09,1660,A
Dolores,1985-04-10,1700,A
Dolores,1985-04-11,1940,A
Dolores,1985-04-12,2100,A
Dolores,1985-04-13,2390,A
Dolores,1985-04-14,2630,A
Dolores,1985-04-15,2860,A
Dolores,1985-04-16,2910,A
Dolores,1985-04-17,2580,A
Dolores,1985-04-18,2620,A
Dolores,1985-04-19,2420,A
Dolores,1985-04-20,1960,A
Dolores,1985-04-21,1740,A
Dolores,1985-04-22,1570,A
Dolores,1985-04-23,1380,A
Dolores,1985-04-24,1450,A
Dolores,1985-04-25,1490,A
Dolores,1985-04-26,1380,A
Dolores,1985-04-27,1290,A
Dolores,1985-04-28,1350,A
Dolores,1985-04-29,1390,A
Dolores,1985-04-30,1570,A
Dolores,1985-05-01,2000,A
Dolores,1985-05-02,1990,A
Dolores,1985-05-03,2430,A
Dolores,1985-05-04,3330,A
Dolores,1985-05-05,3440,A
Dolores,1985-05-06,3450,A
Dolores,1985-05-07,3510,A
Dolores,1985-05-08,3670,A
Dolores,1985-05-09,3370,A
Dolores,1985-05-10,3440,A
Dolores,1985-05-11,2920,A
Dolores,1985-05-12,2130,A
Dolores,1985-05-13,1810,A
Dolores,1985-05-14,1580,A
Dolores,1985-05-15,1520,A
Dolores,1985-05-16,1680,A
Dolores,1985-05-17,1660,A
Dolores,1985-05-18,1750,A
Dolores,1985-05-19,1750,A
Dolores,1985-05-20,1630,A
Dolores,1985-05-21,1620,A
Dolores,1985-05-22,1540,A
Dolores,1985-05-23,1640,A
Dolores,1985-05-24,1840,A
Dolores,1985-05-25,2080,A
Dolores,1985-05-26,2380,A
Dolores,1985-05-27,2800,A
Dolores,1985-05-28,3060,A
Dolores,1985-05-29,3160,A
Dolores,1985-05-30,2940,A
Dolores,1985-05-31,2650,A
Dolores,1985-06-01,2250,A
Dolores,1985-06-02,2320,A
Dolores,1985-06-03,2410,A
Dolores,1985-06-04,2180,A
Dolores,1985-06-05,2110,A
Dolores,1985-06-06,2290,A
Dolores,1985-06-07,2830,A
Dolores,1985-06-08,3290,A
Dolores,1985-06-09,3500,A
Dolores,1985-06-10,3210,A
Dolores,1985-06-11,2930,A
Dolores,1985-06-12,2580,A
Dolores,1985-06-13,2390,A
Dolores,1985-06-14,2300,A
Dolores,1985-06-15,2180,A
Dolores,1985-06-16,2180,A
Dolores,1985-06-17,1910,A
Dolores,1985-06-18,1750,A
Dolores,1985-06-19,1690,A
Dolores,1985-06-20,1570,A
Dolores,1985-06-21,1500,A
Dolores,1985-06-22,1370,A
Dolores,1985-06-23,1220,A
Dolores,1985-06-24,1090,A
Dolores,1985-06-25,1240,A
Dolores,1985-06-26,979,A
Dolores,1985-06-27,770,A
Dolores,1985-06-28,690,A
Dolores,1985-06-29,657,A
Dolores,1985-06-30,603,A
Dolores,1985-07-01,579,A
Dolores,1985-07-02,549,A
Dolores,1985-07-03,513,A
Dolores,1985-07-04,495,A
Dolores,1985-07-05,475,A
Dolores,1985-07-06,445,A
Dolores,1985-07-07,415,A
Dolores,1985-07-08,392,A
Dolores,1985-07-09,387,A
Dolores,1985-07-10,396,A
Dolores,1985-07-11,392,A
Dolores,1985-07-12,357,A
Dolores,1985-07-13,351,A
Dolores,1985-07-14,337,A
Dolores,1985-07-15,302,A
Dolores,1985-07-16,319,A
Dolores,1985-07-17,386,A
Dolores,1985-07-18,313,A
Dolores,1985-07-19,394,A
Dolores,1985-07-20,366,A
Dolores,1985-07-21,325,A
Dolores,1985-07-22,417,A
Dolores,1985-07-23,484,A
Dolores,1985-07-24,398,A
Dolores,1985-07-25,339,A
Dolores,1985-07-26,351,A
Dolores,1985-07-27,351,A
Dolores,1985-07-28,316,A
Dolores,1985-07-29,573,A
Dolores,1985-07-30,435,A
Dolores,1985-07-31,370,A
Dolores,1985-08-01,334,A
Dolores,1985-08-02,347,A
Dolores,1985-08-03,365,A
Dolores,1985-08-04,329,A
Dolores,1985-08-05,315,A
Dolores,1985-08-06,319,A
Dolores,1985-08-07,338,A
Dolores,1985-08-08,338,A
Dolores,1985-08-09,338,A
Dolores,1985-08-10,333,A
Dolores,1985-08-11,342,A
Dolores,1985-08-12,351,A
Dolores,1985-08-13,316,A
Dolores,1985-08-14,299,A
Dolores,1985-08-15,295,A
Dolores,1985-08-16,279,A
Dolores,1985-08-17,265,A
Dolores,1985-08-18,268,A
Dolores,1985-08-19,291,A
Dolores,1985-08-20,318,A
Dolores,1985-08-21,394,A
Dolores,1985-08-22,370,A
Dolores,1985-08-23,347,A
Dolores,1985-08-24,342,A
Dolores,1985-08-25,328,A
Dolores,1985-08-26,319,A
Dolores,1985-08-27,315,A
Dolores,1985-08-28,295,A
Dolores,1985-08-29,262,A
Dolores,1985-08-30,231,A
Dolores,1985-08-31,203,A
Dolores,1985-09-01,199,A
Dolores,1985-09-02,209,A
